"","half_year","VaccineType","n"
"1",2016-07-01,"mOPV2",18521554
"2",2017-01-01,"mOPV2",59234451
"3",2017-07-01,"mOPV2",5298551
"4",2018-01-01,"mOPV2",18757690
"5",2018-07-01,"mOPV2",92818477.608
"6",2019-01-01,"mOPV2",83957512
"7",2019-07-01,"mOPV2",50517170
"8",2020-01-01,"mOPV2",49806553
"9",2020-07-01,"mOPV2",185087260
"10",2020-07-01,"tOPV",51009312
"11",2021-01-01,"mOPV2",70741811
"12",2021-01-01,"nOPV2",69300594
"13",2021-01-01,"tOPV",94900216
"14",2021-07-01,"mOPV2",11007126
"15",2021-07-01,"nOPV2",183165181
"16",2021-07-01,"tOPV",21765778
"17",2022-01-01,"mOPV2",9645248
"18",2022-01-01,"nOPV2",283363303
"19",2022-01-01,"tOPV",10993604
"20",2022-07-01,"mOPV2",6932631
"21",2022-07-01,"nOPV2",198450902
"22",2022-07-01,"tOPV",3298087
"23",2023-01-01,"mOPV2",10309149
"24",2023-01-01,"nOPV2",157273582
"25",2023-01-01,"tOPV",4456596
"26",2023-07-01,"nOPV2",217134806
